videoId,dataset,channelName,title,publishedAt,category,primary_topic_id,primary_topic_keywords
-Eo6pGCrAg8,a_b,AfD-Fraktion Bundestag,Absurde Regelungsorgien der EU! - Karsten Hilse - AfD-Fraktion im Bundestag,2020-06-03T07:00:02Z,other,19,"landwirte, bauern, landwirtschaft, landwirtschaftlichen, direktzahlungen, landwirten, agrarpolitik, agrardiesel"
-esJ6h5GO10,a_b,AfD TV,Dorf am Limit: 1 Asylbewerber auf 4 Einwohner – und kein Platz!,2025-08-14T10:28:10Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-flnJl2pCPM,a_b,AfD TV,"Irre grüne Welt - Sachleistungen heißt nicht, für Migranten einzukaufen!",2023-09-26T11:44:13Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-FNThb9JO-w,a_b,AfD TV,Jörg Meuthen liest Ursula von der Leyen die Leviten,2020-05-29T08:59:35Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-fS4u3NKEH8,a_b,AfD-Fraktion Bundestag,Zynismus pur: Bürger frieren und Renate Künast beschwert sich! Dr. Götz Frömming- AfD-Fraktion im BT,2022-12-03T10:00:00Z,other,-1,outlier
-gOWXAOt3Sw,a_b,AfD-Fraktion Bundestag,Kosten für Umweltbelastung wenigstens auf gerechte Weise erheben! - Wolfgang Wiehle - AfD-Fraktion,2018-09-28T12:44:34Z,climate,4,"bahn, jugendorganisation, auto, musik เฮ, เฮ musik, generation deutschland, autofahrer, diesel"
-gx-wLE44UM,a_b,AfD-Fraktion Bundestag,LIVE: Pressekonferenz der AfD-Fraktion - Diese Woche im Bundestag!,2023-04-18T07:43:41Z,other,-1,outlier
-h2QEhpww9s,a_b,AfD-Fraktion Bundestag,"""Verfassungsschutz wurde zum Regierungsschutz"" - Alexander Gauland & Tino Chrupalla - AfD-Fraktion",2021-03-05T12:30:00Z,other,-1,outlier
-h3_pVYi2zs,a_b,AfD-Fraktion Bundestag,Kay Gottschalk: Neue Abkommen der Regierung gegen Steuerflucht sind zahnlos! - AfD-Fraktion,2018-10-11T08:10:09Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-hmQVtnTOW8,a_b,AfD-Fraktion Bundestag,Damals verhandelte man – heute spielt man mit dem Feuer! Udo Hemmelgarn - AfD-Fraktion im Bundestag,2026-02-28T10:00:00Z,other,16,"grünen, rot, antrag grünen, grün, grüne, antrag, rot rot, linken"
-hN2scG_yQ4,a_b,AfD TV,Gegen Klimaterror hilft nur stabiler Polizeieinsatz!,2023-01-13T12:07:10Z,other,12,"tage deutschland, sieben tage, podcast, sieben, tage, wochenend, wochenend podcast, afg"
-HTGQIe6d78,a_b,AfD-Fraktion Bundestag,Barbara Benkstein zur Verwaltungsdigitalisierung - AfD-Fraktion im Bundestag,2024-02-29T10:00:00Z,other,-1,outlier
-HTzEVHZ0ls,a_b,AfD-Fraktion Bundestag,Für Wohlstandslöhne💶 und gegen🚫 linke Spielchen! Jürgen Pohl - AfD-Fraktion im Bundestag,2023-11-09T14:00:00Z,other,-1,outlier
-hXymD7lSps,a_b,AfD-Fraktion Bundestag,Wohnungskrise ist Schuld Ihrer Politik! - Marc Bernhard - AfD-Fraktion im Bundestag,2019-03-22T09:01:21Z,other,-1,outlier
-I1w72Pilbo,a_b,AfD TV,"Blumige Namen, eiskalte Abzocke: AfD-Haushaltsexperte plättet die Ampel",2024-01-30T15:02:18Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-InvY25OAwk,a_b,AfD-Fraktion Bundestag,Deutschland ist bei der Digitalisierung das Schlusslicht! Tobias Peterka - AfD-Fraktion im Bundestag,2023-10-17T15:00:00Z,other,-1,outlier
-iSExgr--Gc,a_b,AfD-Fraktion Bundestag,Schluss mit staatlichen Eingriffen in den Markt! - Andreas Bleck - AfD-Fraktion im Bundestag,2020-11-30T16:00:00Z,other,-1,outlier
-IyBplBRXkY,a_b,AfD-Fraktion Bundestag,Ihr herbeigewünschter Great Reset wird knallig in die Hose gehen! - Martin Renner - AfD-Fraktion,2020-12-10T08:30:00Z,other,44,"medien, journalisten, öffentlichrechtlichen, rundfunk, öffentlich, öffentlich rechtlichen, media, rundfunks"
-iZSH2VUxOw,a_b,AfD TV,AfD persönlich: Stephan Brandner zu 30 Jahren deutsche Einheit,2020-10-03T10:30:01Z,other,-1,outlier
-j-Q3sHrfUs,a_b,AfD-Fraktion Bundestag,Schluss mit dem ideologischen Kreuzzug gegen die Bauern! - Andreas Bleck - AfD-Fraktion im Bundestag,2021-06-27T13:00:00Z,other,-1,outlier
-jbhQYeHLbg,a_b,AfD-Fraktion Bundestag,Energieversorgung auf dem Altar der Klimasekte geopfert! Stephan Brandner- AfD-Fraktion im Bundestag,2023-03-20T16:00:00Z,other,-1,outlier
-jJtDFN6BCw,a_b,AfD-Fraktion Bundestag,Gut gemeint ist noch nicht gut gemacht!  - Jörn König - AfD-Fraktion im Bundestag,2023-10-23T15:00:00Z,other,32,"sport, sportler, olympia, liebe sportler, sports, fußball, pauli, spiele"
-k8hUhE16mo,a_b,AfD-Fraktion Bundestag,Grüne führen Kreuzzug gegen die bürgerliche Mitte! - Martin Hess - AfD-Fraktion im Bundestag,2021-03-09T12:00:01Z,other,-1,outlier
-k8vb7UTARY,a_b,AfD-Fraktion Bundestag,Praxisanteil bei Ausbildung von Psychotherapeuten erhöhen! - Robby Schlund - AfD-Fraktion,2019-05-10T08:13:49Z,other,-1,outlier
-k9RlZbjAqQ,a_b,AfD-Fraktion Bundestag,Wirecard: Staatsversagen auf allen Ebenen - Kay Gottschalk - AfD-Fraktion im Bundestag,2021-07-01T15:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-KJgGRTIZcA,a_b,AfD-Fraktion Bundestag,1. Agrarsymposium der AfD-Fraktion im Bundestag – Tag 1,2024-11-16T17:00:06Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-Ko-k-3zql4,a_b,AfD-Fraktion Bundestag,Die Wahrheitsfindung an Gerichten ist gefährdet! Thomas Seitz - AfD-Fraktion im Bundestag,2023-11-25T16:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-ldTPgP9cUs,a_b,AfD-Fraktion Bundestag,"Bahn ist Spielball ideologischer Politik, Wolfgang Wiehle - AfD-Fraktion im Bundestag",2023-05-16T07:00:00Z,climate,4,"bahn, jugendorganisation, auto, musik เฮ, เฮ musik, generation deutschland, autofahrer, diesel"
-lFKA5Rl4rE,a_b,AfD-Fraktion Bundestag,Die bisherige Bilanz der Ampel ist erschreckend! Jan Wenzel Schmidt- AfD-Fraktion im Bundestag,2022-05-17T09:00:36Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-lRK6VUPnKE,a_b,AfD-Fraktion Bundestag,EU-Beitrittsverhandlungen mit der Türkei endlich stoppen! - Siegbert Droese - AfD-Fraktion,2019-04-04T16:15:00Z,other,39,"türkei, erdogan, hdp, türkischen, türkische, eu, sozusagen, syrien"
-LSbl7KiMxE,a_b,AfD-Fraktion Bundestag,Noch mehr Insolvenzen Grünen und Linken! - Jürgen Pohl - AfD-Fraktion im Bundestag,2021-04-17T16:00:01Z,other,16,"grünen, rot, antrag grünen, grün, grüne, antrag, rot rot, linken"
-luBqJHu_XQ,a_b,AfD TV,7 Tage Deutschland - der aktuelle Wochenendpodcast der AfD aus Berlin,2021-01-22T12:02:02Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-M-TFlS5zxI,a_b,AfD-Fraktion Bundestag,Menschen dürfen nicht ohne Grund überwacht werden! Stephan Brandner - AfD-Fraktion im Bundestag,2023-03-21T10:00:00Z,other,-1,outlier
-m5-c1XoscA,a_b,AfD-Fraktion Bundestag,BUNDESTAG LIVE - 9. Sitzung - AfD-Fraktion im Bundestag,2021-12-16T16:00:18Z,other,-1,outlier
-M6yRwpBldA,a_b,AfD-Fraktion Bundestag,Alice Weidel im Schlagabtausch mit Strack-Zimmermann bei Maischberger. #weidel #afd,2022-09-21T09:05:52Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-Mf4436AL6I,a_b,AfD-Fraktion Bundestag,Regierungsbefragung: AfD-Fraktion grillt Olaf Scholz!,2022-01-12T15:17:43Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-mxMK8RxCbM,a_b,AfD-Fraktion Bundestag,Diese Regierung scheitert an der Realität! Rüdiger Lucassen - AfD-Fraktion im Bundestag,2024-02-05T13:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-n9nWfZW7Zk,a_b,AfD-Fraktion Bundestag,Martin Reichardt attackiert neue Familienministerin! - AfD-Fraktion im Bundestag,2025-05-18T17:00:01Z,other,-1,outlier
-NC48_8LKgw,a_b,AfD-Fraktion Bundestag,Gefahr eines Atomkriegs ist real! #afd #weidel #bundestag,2023-02-09T11:18:49Z,other,5,"russland, ukraine, krieg, russischen, russlanddeutschen, putin, bundesregierung, damen"
-nCNjVNB3qM,a_b,AfD-Fraktion Bundestag,"Europäische Nato: Notwendigkeit, um sich von den Großmächten zu befreien! Rüdiger Lucassen",2022-07-13T09:00:01Z,other,-1,outlier
-nMXrSHCQgA,a_b,AfD-Fraktion Bundestag,Die meisten Abgeordneten kennen den Spritpreis nicht! - Bernd Schattner - AfD-Fraktion im Bundestag,2022-02-21T17:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-odeCKCg5XY,a_b,AfD-Fraktion Bundestag,Verschärfung der Disziplinarverfahren: Zynischer geht es kaum! Jochen Haug - AfD-Fraktion Bundestag,2023-11-26T08:00:00Z,other,-1,outlier
-ohyO6eLO6M,a_b,AfD TV,„Reichsbürger-Razzia“: Gezielte Diskreditierung der Opposition?,2022-12-14T15:00:00Z,other,-1,outlier
-Ok9PJi7ATk,a_b,AfD-Fraktion Bundestag,Raus mit der Umsiedlungs-Mafia aus der Regierung! - Gottfried Curio - AfD-Fraktion im Bundestag,2020-10-01T07:45:32Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-OyLMnhTgwY,a_b,AfD-Fraktion Bundestag,Mit dem Quartetto infernale ist der Staatsbankrott zum Greifen nah! Stephan Brandner - AfD-Fraktion,2024-02-02T15:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-ozXBSTClpM,a_b,AfD-Fraktion Bundestag,Massnahmen  aus der sozialistischen Mottenkiste lehnen wir ab! - Jan Wenzel Schmidt-AfD im Bundestag,2022-09-23T17:00:00Z,other,-1,outlier
-PuH01KnPKM,a_b,AfD-Fraktion Bundestag,Staatswirtschaft war noch nie die Lösung! - Enrico Komning - AfD-Fraktion im Bundestag,2022-09-23T12:00:00Z,other,-1,outlier
-pVfyihsKZw,a_b,AfD-Fraktion Bundestag,Alice Weidel & Tino Chrupalla zu politischen Themen der aktuellen Plenarwoche  - AfD-Fraktion,2025-05-13T13:01:13Z,other,5,"russland, ukraine, krieg, russischen, russlanddeutschen, putin, bundesregierung, damen"
-Px0d0l5fZ0,a_b,AfD-Fraktion Bundestag,Superstaat als Belohnung für EU-Korruption? - Tobias Matthias Peterka - AfD-Fraktion im Bundestag,2020-06-02T07:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-Qj9pslRApE,a_b,AfD-Fraktion Bundestag,Die Bürger werden enteignet! Karsten Hilse - AfD-Fraktion im Bundestag,2023-04-23T09:00:01Z,other,-1,outlier
-QpxgPkvcFw,a_b,AfD-Fraktion Bundestag,Das ist Sabotage durch Unfähigkeit! Rüdiger Lucassen - AfD-Fraktion im Bundestag,2022-11-27T17:00:01Z,other,18,"soldaten, bundeswehr, einsatz, streitkräfte, mali, verteidigung, soldat, guardian"
-rTer0D7PO0,a_b,AfD TV,"Claudia Roth tickt aus, weil die AfD nicht gendert!",2021-10-04T18:00:01Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-RvAT4vpugQ,a_b,AfD-Fraktion Bundestag,Baerbock sind verfolgte Christen egal! - Jürgen Braun - AfD-Fraktion im Bundestag,2021-12-16T10:16:58Z,other,-1,outlier
-RzUf0Pe4wQ,a_b,AfD-Fraktion Bundestag,Es reicht! Schluss mit der epidemischen Notlage! - Detlev Spangenberg - AfD-Fraktion im Bundestag,2021-06-11T12:38:50Z,other,2,"impfung, corona, impfpflicht, patienten, virus, lauterbach, impfen, impfstoff"
-s-Dq3dzkHs,a_b,AfD-Fraktion Bundestag,Der INF- Vertrag hat seine Wirkung verloren! - Armin-Paul Hampel - AfD-Fraktion im Bundestag,2018-11-08T14:50:04Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-Sag1OxlJKU,a_b,AfD TV,"Heimaturlaub für Syrer, Balkonien für unsere Bürger?",2025-06-26T13:00:00Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-SDD_5VYLao,a_b,AfD-Fraktion Bundestag,Der Bundeskanzler und seine gekauften Journalisten... Martin E. Renner - AfD-Fraktion im Bundestag,2023-03-15T15:31:56Z,other,44,"medien, journalisten, öffentlichrechtlichen, rundfunk, öffentlich, öffentlich rechtlichen, media, rundfunks"
-SEP3VMC38M,a_b,AfD-Fraktion Bundestag,Flüchtlinge im Mittelmeer sofort nach Afrika zurückschicken! - Armin-Paul Hampel - AfD-Fraktion,2018-07-04T12:48:23Z,other,-1,outlier
-SqFqyLZ39o,a_b,AfD-Fraktion Bundestag,Die Ampel hat die kleinen Leute verraten und verkauft! - Ulrike Schielke-Ziesing - AfD-Fraktion,2021-12-09T15:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-SX87myBPio,a_b,AfD-Fraktion Bundestag,Der Gedanke einer Mehrelternschaft ist ausgemachter Humbug - Rainer Galla - AfD-Fraktion,2025-12-09T14:00:01Z,other,27,"kinder, heranziehung, musik musik, familien, musik, blackout, eltern, jugendhilfe"
-T0vqkO0oQY,a_b,AfD-Fraktion Bundestag,Vortragsabend Wolfssymposium - Ist eine friedliche Koexistenz möglich? - AfD-Fraktion im Bundestag,2023-09-07T17:00:08Z,other,-1,outlier
-t_ncZTYIIM,a_b,AfD-Fraktion Bundestag,Ratifizierung des Sozialab­kommens mit der Ukraine verhindern! - Norbert Kleinwächter - AfD-Fraktion,2019-11-13T17:51:18Z,other,-1,outlier
-tY0YV8hNEE,a_b,AfD TV,"""Zeit für Alice Weidel"" live aus Greding!",2025-02-07T18:02:51Z,other,-1,outlier
-tyK2nDUcpY,a_b,AfD-Fraktion Bundestag,Unfassbare Vorgänge rund um dem Schleuser-Skandal von CDU und SPD! Stefan Keuter - AfD-Fraktion,2024-05-17T14:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-U6NDGCRMHU,a_b,AfD-Fraktion Bundestag,Wo bleibt die Anerkennung und Entschädigung der Opfer der DDR? - Thomas Ehrhorn - AfD-Fraktion,2019-04-05T09:05:57Z,other,-1,outlier
-Ui41AkvVEA,a_b,AfD-Fraktion Bundestag,"""Volksentscheide - mehr direkte Demokratie!"" - Jochen Haug - AfD-Bürgerdialog in Dorsten 17.09.",2019-09-23T07:31:25Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-UkQaPL4hYE,a_b,AfD-Fraktion Bundestag,Wiederaufbau in Syrien nicht mit Sanktionen behindern! - Frank Pasemann - AfD-Fraktion im Bundestag,2020-06-19T06:21:21Z,other,41,"syrien, syrischen, assad, syrische, damaskus, syrer, syriens, sanktionen"
-V4PCwT-cK0,a_b,AfD-Fraktion Bundestag,Linksextremismus und Islamismus sind die wahre Gefahr! - Christian Wirth - AfD-Fraktion im Bundestag,2020-11-09T14:00:01Z,other,-1,outlier
-vLbduf3UeU,a_b,AfD-Fraktion Bundestag,Wir brauchen die Festung Europa! #weidel #afd #bundestag,2023-10-17T13:34:42Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-VMwP0HJYhc,a_b,AfD-Fraktion Bundestag,Schuld an der Wohnungsnot sind allein die Altparteien! - Martin Sichert - AfD-Fraktion im Bundestag,2019-04-10T15:26:38Z,other,-1,outlier
-VNAqdyziEE,a_b,AfD-Fraktion Bundestag,LIVE: Pressekonferenz der AfD-Fraktion - Diese Woche im Bundestag,2026-01-13T09:24:22Z,other,-1,outlier
